"MILESTONE / GROUP","TASK UTAMA","PIC (Dropdown)","DEADLINE","STATUS (Dropdown)","LOGBOOK HARIAN & OUTPUT (Senin-Jumat)"
"M1: PREPARATION (W06)","Finalisasi Database & API Contract","Farchan","04-Mar-26","To Do","• D26 (Senin, 2 Mar): Freeze scope MVP dan audit backlog backend. (Out: Scope final & endpoint list) | • D27 (Selasa, 3 Mar): Finalisasi API Contract v1 (auth, events, reports). (Out: Dokumen kontrak API) | • D28 (Rabu, 4 Mar): Finalisasi ERD relasi user-event-report-point. (Out: ERD final revisi) | • D29 (Kamis, 5 Mar): Tetapkan acceptance criteria backend sprint 1. (Out: DoD backend) | • D30 (Jumat, 6 Mar): Kunci risk register dan sprint planning W07. (Out: Sprint backlog backend)"
"M1: PREPARATION (W06)","Setup UI Kit & Repo Frontend","Ikram","06-Mar-26","To Do","• D26 (Senin, 2 Mar): Audit screen Figma dan mapping modul ke FE. (Out: Screen map final) | • D27 (Selasa, 3 Mar): Finalisasi design token + setup struktur repo FE. (Out: FE baseline siap) | • D28 (Rabu, 4 Mar): Sinkron wireframe akhir ke struktur komponen FE. (Out: Component map FE) | • D29 (Kamis, 5 Mar): Implement route skeleton + app shell. (Out: App shell berjalan) | • D30 (Jumat, 6 Mar): Final review readiness UI/FE sprint 1. (Out: Checklist readiness FE)"
"M2: AUTH SYSTEM (W07)","Backend Auth Logic","Farchan","13-Mar-26","To Do","• D31 (Senin, 9 Mar): Implement validasi login/register. (Out: Validation rules) | • D32 (Selasa, 10 Mar): Implement session + role guard backend. (Out: Session/auth aktif) | • D33 (Rabu, 11 Mar): Implement mapping permission per role. (Out: RBAC map backend) | • D34 (Kamis, 12 Mar): Standarisasi error auth (401/403/429). (Out: Error JSON konsisten) | • D35 (Jumat, 13 Mar): Retest endpoint auth end-to-end. (Out: Auth API stabil)"
"M2: AUTH SYSTEM (W07)","Frontend Auth UI & Integrasi","Ikram","13-Mar-26","To Do","• D31 (Senin, 9 Mar): Slicing login/register page. (Out: UI auth siap) | • D32 (Selasa, 10 Mar): Integrasi API auth + token storage. (Out: Login flow jalan) | • D33 (Rabu, 11 Mar): Dynamic menu by role. (Out: Role-based nav aktif) | • D34 (Kamis, 12 Mar): Error handling FE untuk auth. (Out: Handling state stabil) | • D35 (Jumat, 13 Mar): Polish auth flow + catat defect FE. (Out: Auth FE stabil)"
"M3: EVENT MODULE (W08)","Backend Event CRUD & Approval","Farchan","20-Mar-26","To Do","• D36 (Senin, 16 Mar): Validasi rule create event. (Out: Rule event valid) | • D37 (Selasa, 17 Mar): Endpoint create/edit draft. (Out: API draft aktif) | • D38 (Rabu, 18 Mar): Logic approval/reject event. (Out: Status transition benar) | • D39 (Kamis, 19 Mar): Validasi gate publish sesuai status. (Out: Publish gate valid) | • D40 (Jumat, 20 Mar): Uji E2E draft -> publish. (Out: Event API stabil)"
"M3: EVENT MODULE (W08)","Frontend Event Dashboard","Ikram","20-Mar-26","To Do","• D36 (Senin, 16 Mar): Form create event + validasi. (Out: Form event siap) | • D37 (Selasa, 17 Mar): List draft event moderator. (Out: Table draft tampil) | • D38 (Rabu, 18 Mar): Integrasi action approve/reject FE. (Out: Action FE aktif) | • D39 (Kamis, 19 Mar): Update badge status event. (Out: Status visual konsisten) | • D40 (Jumat, 20 Mar): Retest flow event dashboard FE. (Out: Event flow FE sinkron)"
"M4: PARTICIPATION (W09-W10)","Backend Join & Report","Farchan","03-Apr-26","To Do","• D41 (Senin, 23 Mar): Logic join (cek kuota/status). (Out: Join logic aman) | • D42 (Selasa, 24 Mar): Endpoint riwayat partisipasi. (Out: Participation history API) | • D43 (Rabu, 25 Mar): Logic complete event + absensi. (Out: Complete rule valid) | • D44 (Kamis, 26 Mar): Validasi checklist attendance. (Out: Attendance rule valid) | • D45 (Jumat, 27 Mar): Retest domain participation. (Out: Participation API stabil) | • D46 (Senin, 30 Mar): Finalisasi payload report step 1-2. (Out: Payload final) | • D47 (Selasa, 31 Mar): Endpoint submit report + validasi. (Out: API report aktif) | • D48 (Rabu, 1 Apr): Validasi bukti laporan (media/proof). (Out: Proof rule valid) | • D49 (Kamis, 2 Apr): Sinkron status report pending/history. (Out: Status sinkron) | • D50 (Jumat, 3 Apr): Validasi data laporan masuk E2E. (Out: Report valid)"
"M4: PARTICIPATION (W09-W10)","Frontend Join & Wizard Report","Ikram","03-Apr-26","To Do","• D41 (Senin, 23 Mar): Tombol join dinamis. (Out: Button logic jalan) | • D42 (Selasa, 24 Mar): Halaman event saya/history. (Out: History page aktif) | • D43 (Rabu, 25 Mar): CTA complete khusus KSH. (Out: Complete action FE) | • D44 (Kamis, 26 Mar): UI checklist attendance. (Out: Attendance UI sinkron) | • D45 (Jumat, 27 Mar): Patch bug participation FE. (Out: Participation FE stabil) | • D46 (Senin, 30 Mar): Wizard report step 1. (Out: Step 1 valid) | • D47 (Selasa, 31 Mar): Wizard report step 2 + upload. (Out: Upload flow aktif) | • D48 (Rabu, 1 Apr): Validasi field proof di FE. (Out: Proof form valid) | • D49 (Kamis, 2 Apr): Integrasi history report user. (Out: History report sinkron) | • D50 (Jumat, 3 Apr): Polish wizard report + retest FE. (Out: Reporting FE stabil)"
"M5: GAMIFICATION (W11-W12)","Backend Verify, XP, Leaderboard","Farchan","17-Apr-26","To Do","• D51 (Senin, 6 Apr): Endpoint verify report. (Out: Verify API aktif) | • D52 (Selasa, 7 Apr): Trigger tambah XP saat approve. (Out: Scoring logic valid) | • D53 (Rabu, 8 Apr): Tambah audit trail status report. (Out: Audit trail backend) | • D54 (Kamis, 9 Apr): Stabilkan notifikasi status report. (Out: Notification backend) | • D55 (Jumat, 10 Apr): Retest verify/scoring E2E. (Out: Verify flow stabil) | • D56 (Senin, 13 Apr): Query aggregation leaderboard. (Out: Rank data tersedia) | • D57 (Selasa, 14 Apr): Sinkron update rank pasca verify. (Out: Rank update konsisten) | • D58 (Rabu, 15 Apr): Stabilkan service progress pilar. (Out: Progress service stabil) | • D59 (Kamis, 16 Apr): Rule akses leaderboard. (Out: Access rule valid) | • D60 (Jumat, 17 Apr): Optimasi query leaderboard. (Out: Query lebih cepat)"
"M5: GAMIFICATION (W11-W12)","Frontend Gamification UI","Ikram","17-Apr-26","To Do","• D51 (Senin, 6 Apr): Panel verifikasi moderator. (Out: Panel admin/mod siap) | • D52 (Selasa, 7 Apr): Notifikasi status laporan. (Out: Notifikasi tampil) | • D53 (Rabu, 8 Apr): Timeline status report UI. (Out: Timeline status aktif) | • D54 (Kamis, 9 Apr): Indikator notifikasi FE. (Out: Indicator FE aktif) | • D55 (Jumat, 10 Apr): Patch bug verifikasi FE. (Out: Verifikasi FE stabil) | • D56 (Senin, 13 Apr): UI leaderboard table. (Out: Tabel ranking aktif) | • D57 (Selasa, 14 Apr): Rank card + nilai XP FE. (Out: Rank card sinkron) | • D58 (Rabu, 15 Apr): Chart statistik 4 pilar. (Out: Visual chart aktif) | • D59 (Kamis, 16 Apr): CTA login/view all leaderboard. (Out: CTA leaderboard aktif) | • D60 (Jumat, 17 Apr): Polish leaderboard FE. (Out: Leaderboard FE stabil)"
"M6: REWARD & MITRA (W13-W14)","Backend Reward & Mitra","Farchan","01-Mei-26","To Do","• D61 (Senin, 20 Apr): Definisi rule 1 kegiatan 1 sertifikat. (Out: Rule sertifikat final) | • D62 (Selasa, 21 Apr): Generate sertifikat dinamis. (Out: Sertifikat gen siap) | • D63 (Rabu, 22 Apr): Definisi konversi poin ke voucher. (Out: Rule konversi final) | • D64 (Kamis, 23 Apr): Logic redeem poin. (Out: Redeem logic valid) | • D65 (Jumat, 24 Apr): Retest sertifikat + redeem E2E. (Out: Reward backend stabil) | • D66 (Senin, 27 Apr): Definisikan schema request mitra. (Out: Schema mitra final) | • D67 (Selasa, 28 Apr): Endpoint public form mitra. (Out: API mitra aktif) | • D68 (Rabu, 29 Apr): Routing request mitra by scope. (Out: Routing scope valid) | • D69 (Kamis, 30 Apr): Approval request mitra. (Out: Flow mitra end-to-end) | • D70 (Jumat, 1 Mei): Uji E2E submit-review mitra. (Out: Governance mitra stabil)"
